Date,Open,High,Low,Close,Volume,RSI,SMA10,SMA20,SMA50,SMA200
2006-09-05,131.51,131.85,131.2,131.67,52348300,70.6774,130.474,129.49,127.5718,127.86785000000002
2006-09-06,131.11,131.16,130.33,130.51,53795600,59.0097,130.513,129.645,127.6822,127.8972
2006-09-07,130.06,130.57,129.35,129.91,86269400,54.0404,130.528,129.79149999999998,127.8022,127.92110000000001
2006-09-08,130.08,130.46,129.83,130.28,45096300,56.4746,130.59099999999998,129.93699999999998,127.91279999999999,127.94369999999999
2006-09-11,129.86,130.69,129.48,130.41,68496600,57.3297,130.651,130.107,127.9756,127.96424999999999
2006-09-12,130.56,131.84,130.37,131.69,69875600,64.6864,130.777,130.33599999999998,128.06380000000001,127.98755000000001
2006-09-13,131.64,132.45,131.52,132.22,62898400,67.2074,130.941,130.5155,128.15220000000002,128.013
2006-09-14,131.96,132.24,131.75,132.23,57805400,67.2549,131.098,130.642,128.25539999999998,128.043
2006-09-15,132.31,132.39,131.68,131.96,76703100,68.7623,131.23000000000002,130.7385,128.3458,128.07235
2006-09-18,131.79,132.39,131.65,132.14,64154100,69.6419,131.302,130.811,128.4564,128.106
2006-09-19,132.12,132.13,131.07,131.81,92089100,65.9742,131.31599999999997,130.895,128.5556,128.13160000000002
2006-09-20,132.25,132.77,132.06,132.51,75204100,69.6281,131.516,131.0145,128.6576,128.1599
2006-09-21,132.61,132.75,131.42,131.87,88932500,62.9699,131.71200000000002,131.12,128.774,128.18635
2006-09-22,131.67,131.68,131.0,131.47,65966800,59.1622,131.83100000000002,131.21099999999998,128.92340000000002,128.20960000000002
2006-09-25,131.73,132.85,131.05,132.48,92299100,64.929,132.038,131.34449999999998,129.1026,128.2416
2006-09-26,132.5,133.6,132.4,133.58,73962700,69.9124,132.227,131.502,129.3074,128.2795
2006-09-27,133.49,133.97,133.27,133.74,82432200,70.5675,132.379,131.66000000000003,129.5028,128.31654999999998
2006-09-28,133.74,133.99,133.28,133.69,58597500,70.0541,132.525,131.8115,129.6628,128.35275000000001
2006-09-29,133.8,133.94,133.48,133.58,47966600,68.8672,132.68699999999998,131.95850000000002,129.8378,128.3841
2006-10-02,133.54,133.83,132.95,133.08,51687400,63.5932,132.781,132.04149999999998,130.0204,128.41045
2006-10-03,132.89,133.87,132.65,133.36,73108100,65.2004,132.936,132.126,130.1634,128.44004999999999
2006-10-04,133.23,135.0,133.08,134.92,80890500,72.4878,133.177,132.34650000000002,130.3286,128.48284999999998
2006-10-05,134.92,135.41,134.75,135.18,60505900,73.4844,133.50799999999998,132.61,130.4956,128.5302
2006-10-06,134.95,135.1,134.4,135.01,64983600,71.6567,133.862,132.8465,130.6616,128.5761
2006-10-09,134.85,135.3,134.64,135.09,41176800,72.0095,134.123,133.0805,130.80380000000002,128.6214
2006-10-10,135.1,135.45,134.84,135.27,56403700,72.8291,134.292,133.2595,130.9522,128.6643
2006-10-11,134.84,135.43,134.3,135.11,104071800,70.8434,134.429,133.404,131.11,128.70605
2006-10-12,135.45,136.39,135.4,136.28,59158600,75.9971,134.688,133.60649999999998,131.274,128.7601
2006-10-13,136.16,136.71,136.04,136.63,53944000,77.2903,134.993,133.84,131.4382,128.8145
2006-10-16,136.52,137.05,136.42,136.84,42273000,78.0542,135.369,134.075,131.611,128.87275
2006-10-17,136.47,136.7,135.67,136.41,90500600,72.6639,135.674,134.305,131.7812,128.93225
2006-10-18,137.04,137.37,136.1,136.59,86848600,73.4892,135.841,134.50900000000001,131.96480000000003,128.9817
2006-10-19,136.39,136.88,136.23,136.81,64063200,74.5025,136.004,134.756,132.1614,129.02925000000002
2006-10-20,136.84,136.95,136.33,136.84,48094500,74.6448,136.187,135.02450000000002,132.3508,129.07655
2006-10-23,136.56,137.8,136.39,137.47,66219900,77.4867,136.425,135.274,132.56,129.1217
2006-10-24,137.28,137.93,137.22,137.88,53234900,79.1264,136.68599999999998,135.489,132.77540000000002,129.16725
2006-10-25,137.74,138.41,137.51,138.35,78105400,80.8484,137.01000000000002,135.71949999999998,132.9698,129.2145
2006-10-26,138.66,139.0,137.98,138.78,66843700,82.288,137.26000000000002,135.974,133.15140000000002,129.26185
2006-10-27,138.61,138.75,137.63,137.91,80238000,70.7071,137.38799999999998,136.1905,133.309,129.3074
2006-10-30,137.66,138.2,137.4,137.81,49717800,69.4963,137.485,136.427,133.4514,129.35305
2006-10-31,138.07,138.26,137.25,137.79,71274100,69.2409,137.623,136.64849999999998,133.6046,129.40035
2006-11-01,138.22,138.31,136.72,136.86,83005600,58.4803,137.65,136.74550000000002,133.73940000000002,129.44555
2006-11-02,136.51,137.01,136.36,136.78,60693100,57.6503,137.647,136.82549999999998,133.8798,129.4879
2006-11-03,137.27,137.39,135.62,136.54,71346400,55.1227,137.61700000000002,136.902,134.01760000000002,129.54075
2006-11-06,136.96,138.28,136.95,138.08,63303300,65.5575,137.678,137.0515,134.183,129.59905
2006-11-07,138.2,138.98,138.0,138.61,63318900,68.2902,137.751,137.2185,134.3466,129.65935
2006-11-08,138.0,139.05,136.86,138.91,87517800,69.7531,137.807,137.4085,134.5132,129.7206
2006-11-09,139.01,139.14,137.9,138.18,95916300,62.2299,137.747,137.5035,134.66359999999997,129.7747
2006-11-10,138.14,138.34,137.72,138.24,48991500,62.5871,137.78000000000003,137.584,134.81560000000002,129.82319999999999
2006-11-13,138.18,139.04,138.07,138.58,59398200,64.6283,137.857,137.671,134.9588,129.8739
2006-11-14,138.97,139.74,138.12,139.62,96704000,70.0169,138.04000000000002,137.8315,135.11780000000002,129.9345
2006-11-15,139.57,140.45,139.53,140.02,76509600,71.7967,138.35600000000002,138.003,135.308,129.99265000000003
2006-11-16,140.44,140.68,139.49,140.38,76728800,73.3309,138.716,138.1815,135.5174,130.06005
2006-11-17,139.93,140.43,139.73,140.42,56353800,73.5034,139.10399999999998,138.3605,135.7202,130.1308
2006-11-20,140.3,140.74,139.94,140.5,69174200,73.8674,139.346,138.512,135.922,130.2003
2006-11-21,140.49,140.67,140.29,140.64,51367900,74.5269,139.549,138.65,136.101,130.2761
2006-11-22,140.75,141.16,140.5,140.92,45505300,75.8402,139.75,138.7785,136.275,130.34759999999997
2006-11-24,140.24,140.84,140.2,140.35,30998000,68.1388,139.96699999999998,138.857,136.4374,130.41729999999998
2006-11-27,140.28,140.35,138.38,138.42,84545100,49.7258,139.98499999999999,138.8825,136.5666,130.47619999999998
2006-11-28,138.24,139.16,138.11,139.02,106652900,53.8968,140.029,138.943,136.70420000000001,130.53924999999998
2006-11-29,139.47,140.53,139.08,140.47,90034900,62.0837,140.11399999999998,139.077,136.8774,130.60285
2006-11-30,140.44,141.05,139.76,140.53,83994300,62.3814,140.165,139.2605,137.0378,130.66449999999998
2006-12-01,140.53,140.66,138.97,140.22,126080000,59.7704,140.149,139.4325,137.2048,130.7198
2006-12-04,140.25,141.55,140.23,141.29,87813200,65.1867,140.236,139.67,137.4012,130.78220000000002
2006-12-05,141.56,141.96,141.26,141.9,73374400,67.8447,140.376,139.861,137.58960000000002,130.84924999999998
2006-12-06,141.87,142.07,141.5,141.78,53253200,66.7648,140.49,140.01950000000002,137.7536,130.9118
2006-12-07,142.03,142.3,141.11,141.16,62857400,61.3329,140.51399999999998,140.132,137.902,130.97220000000002
2006-12-08,141.13,141.9,140.78,141.42,79625500,62.7033,140.621,140.294,138.0566,131.03225
2006-12-11,141.42,142.09,141.34,141.83,39779400,64.8206,140.962,140.4735,138.2216,131.09410000000003
2006-12-12,141.69,141.87,140.89,141.72,77451600,63.7745,141.232,140.63049999999998,138.39440000000002,131.16154999999998
2006-12-13,142.23,142.34,141.56,141.87,55520200,64.6131,141.372,140.743,138.56459999999998,131.22405
2006-12-14,141.86,143.24,141.84,143.12,64755200,70.7004,141.631,140.898,138.7286,131.29285
2006-12-15,142.64,142.89,142.24,142.34,70857400,70.7553,141.84300000000002,140.996,138.8718,131.36075
2006-12-18,142.54,142.88,141.75,141.95,48954600,66.5948,141.90900000000002,141.0725,139.01059999999998,131.42965
2006-12-19,141.55,142.56,141.19,142.22,65023600,67.9978,141.94099999999997,141.15849999999998,139.1532,131.5009
2006-12-20,142.28,142.66,142.01,142.14,41469600,67.0985,141.977,141.2335,139.2906,131.57039999999998
2006-12-21,142.27,142.43,141.32,141.62,48698400,61.4136,142.023,141.2685,139.42079999999999,131.6416
2006-12-22,141.64,141.65,140.67,140.75,62069100,53.2801,141.956,141.2885,139.5102,131.7024
2006-12-26,140.81,141.61,140.78,141.58,32696900,58.8758,141.931,141.4465,139.6092,131.76615
2006-12-27,141.87,142.6,141.83,142.51,39727100,64.0687,142.01000000000002,141.621,139.7226,131.8278
2006-12-28,142.41,142.7,141.99,142.21,37288800,61.3764,142.044,141.70800000000003,139.8386,131.88505
2006-12-29,142.06,142.54,141.43,141.62,45461200,56.36,141.894,141.7625,139.9392,131.938
2007-01-03,142.25,142.86,140.57,141.37,94807600,54.3336,141.797,141.82,140.03040000000001,131.99175
2007-01-04,141.23,142.05,140.61,141.67,69620600,56.3613,141.76899999999998,141.839,140.127,132.04805
2007-01-05,141.33,141.4,140.38,140.54,76645300,47.7594,141.601,141.77100000000002,140.1884,132.1028
